,listing_id,host_id,city,house_title,house_type,price,owner_name,no_of_reviews,rating,occupancy,no_of_guest,bedrooms_no,beds_no,bath_no
0,1000,99900,Manhattan,A Beautiful Brownstone Apartment,Entire apartment,91.0,Michael,279,5.0,"['4 guests', 'Studio', '3 beds', '1 bath', '\U000f0004\n474 Reviews', '\U000f0019\nVerified']",4.0,0.5,3.0,1.0
1,1001,99901,Manhattan,YOUR DREAM SUITE IN MANHATTAN,Private room in apartment,87.0,Marilyn,137,4.0,"['4 guests', '1 bedroom', '2 beds', '1 private bath', '\U000f0004\n544 Reviews', '\U000f0019\nVerified']",4.0,1.0,2.0,1.0
2,1002,99902,Manhattan,Manhattan's Best Deal!,Entire apartment,165.0,Adrianne,272,4.5,"['6 guests', '2 bedrooms', '5 beds', '1 bath', '\U000f0004\n410 Reviews', '\U000f0019\nVerified']",6.0,2.0,5.0,1.0
3,1003,99903,Manhattan,Spacious room near Times Square,Private room in apartment,88.0,Stephanie,118,4.5,"['4 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n257 Reviews', '\U000f0019\nVerified']",4.0,1.0,1.0,1.0
4,1004,99904,Manhattan,Entire Apartment Steps from Times Square!!! For 4!,Entire apartment,99.0,Theresa,162,4.5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n398 Reviews', '\U000f0019\nVerified']",4.0,1.0,2.0,1.0
5,1005,99905,Manhattan,Modern & Trendy 2-Bedroom 1 Bath Lower Manhattan,Entire apartment,90.0,Alex,117,5.0,"['5 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n118 Reviews', '\U000f0019\nVerified']",5.0,2.0,3.0,1.0
6,1006,99906,Manhattan,LARGE 2 Bedroom Midtown Manhattan Apartment!,Entire apartment,124.0,Ethan,4,5.0,"['4 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n4 Reviews', '\U000f0019\nVerified']",4.0,2.0,2.0,1.0
7,1007,99907,Manhattan,Massive DUPLEX 2BR & 2BATH East Village,Entire apartment,198.0,Seith,340,4.0,"['8 guests', '2 bedrooms', '4 beds', '2 baths', '\U000f0004\n939 Reviews', '\U000f1101\n1 Reference', '\U000f0019\nVerified']",8.0,2.0,4.0,2.0
8,1008,99908,Manhattan,Luxury Central Park Apartment close to everything,Entire apartment,199.0,Bozhena,125,4.5,"['4 guests', '1 bedroom', '4 beds', '1 bath', '\U000f0004\n337 Reviews', '\U000f0019\nVerified']",4.0,1.0,4.0,1.0
9,1009,99909,Manhattan,GREAT AND STYLISH APARTMENT! AMAZING LOCATION!,Entire apartment,110.0,M. Alejandro,100,4.5,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n108 Reviews', '\U000f0019\nVerified']",3.0,1.0,2.0,1.0
10,1010,99910,Manhattan,Big renovated studio up to 4 people in Manhattan,Entire apartment,95.0,Gloria,20,4.5,"['4 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n20 Reviews', '\U000f0019\nVerified']",4.0,0.5,1.0,1.0
